party_id,party_title,party_first_name,party_last_name,contact_address,contact_email_address,contact_telephone_no,contact_mobile_no,offer_name,business_purpose,state,treatment_name,channel_name,decision_datetime,incontrolgroup
123579,Mr,Brad,Chambers,"35 Wheaton Vale, BIRMINGHAM, B20 1AH",Brad.Chambers@test.adqura.com,00000456912,10000345801,BillShockReduction,Retention,InLife,BillShockReduction_Email,Email,20190722T113032.106 GMT,N
123579,Mr,Brad,Chambers,"35 Wheaton Vale, BIRMINGHAM, B20 1AH",Brad.Chambers@test.adqura.com,00000456912,10000345801,DoubleDataPromo,Xsell-Upsell,InLife,DoubleDataPromo_Email,Email,20190722T113032.106 GMT,N
123579,Mr,Brad,Chambers,"35 Wheaton Vale, BIRMINGHAM, B20 1AH",Brad.Chambers@test.adqura.com,00000456912,10000345801,DoubleDataPromo,Xsell-Upsell,InLife,DoubleDataPromo_SMS,SMS,20190722T113032.106 GMT,N
123579,Mr,Brad,Chambers,"35 Wheaton Vale, BIRMINGHAM, B20 1AH",Brad.Chambers@test.adqura.com,00000456912,10000345801,SorryDataOutage,Retention,InLife,SorryDataOutage_Email,Email,20190722T113032.106 GMT,N
123580,Mr,Bradford,Champagne,"18 CHATTAWAY STREET, BIRMINGHAM, B7 5LN",Bradford.Champagne@test.adqura.com,00000456913,10000345802,BillShockReduction,Retention,InLife,BillShockReduction_Email,Email,20190722T113036.866 GMT,N
123580,Mr,Bradford,Champagne,"18 CHATTAWAY STREET, BIRMINGHAM, B7 5LN",Bradford.Champagne@test.adqura.com,00000456913,10000345802,DoubleDataPromo,Xsell-Upsell,InLife,DoubleDataPromo_Email,Email,20190722T113036.866 GMT,N
123580,Mr,Bradford,Champagne,"18 CHATTAWAY STREET, BIRMINGHAM, B7 5LN",Bradford.Champagne@test.adqura.com,00000456913,10000345802,DoubleDataPromo,Xsell-Upsell,InLife,DoubleDataPromo_SMS,SMS,20190722T113036.866 GMT,N
123580,Mr,Bradford,Champagne,"18 CHATTAWAY STREET, BIRMINGHAM, B7 5LN",Bradford.Champagne@test.adqura.com,00000456913,10000345802,SorryDataOutage,Retention,InLife,SorryDataOutage_Email,Email,20190722T113036.866 GMT,N
123581,Mr,Bradley,Champion,"40 GRESTONE AVENUE, BIRMINGHAM, B20 1AX",Bradley.Champion@test.adqura.com,00000456914,10000345803,BillShockReduction,Retention,InLife,BillShockReduction_Email,Email,20190722T113046.152 GMT,N
123581,Mr,Bradley,Champion,"40 GRESTONE AVENUE, BIRMINGHAM, B20 1AX",Bradley.Champion@test.adqura.com,00000456914,10000345803,BillShockReduction,Retention,InLife,BillShockReduction_SMS,SMS,20190722T113046.152 GMT,N
123581,Mr,Bradley,Champion,"40 GRESTONE AVENUE, BIRMINGHAM, B20 1AX",Bradley.Champion@test.adqura.com,00000456914,10000345803,DoubleDataPromo,Xsell-Upsell,InLife,DoubleDataPromo_Email,Email,20190722T113046.152 GMT,N
123581,Mr,Bradley,Champion,"40 GRESTONE AVENUE, BIRMINGHAM, B20 1AX",Bradley.Champion@test.adqura.com,00000456914,10000345803,SorryDataOutage,Retention,InLife,SorryDataOutage_Email,Email,20190722T113046.152 GMT,N
123582,Mr,Bradly,Chan,"4 DERWENT ROAD, BIRMINGHAM, B30 2UU",Bradly.Chan@test.adqura.com,00000456915,10000345804,BillShockReduction,Retention,InLife,BillShockReduction_Email,Email,20190722T113047.907 GMT,N
